500;150;0
375;150;0,1
281,25;149,25;0,2
211,992;147,944;0,3
161,173;146,24;0,4
123,91;144,258;0,5
96,4904;142,088;0,6
76,1852;139,794;0,7
61,0265;137,424;0,8
49,6071;135,011;0,9
40,9231;132,579;1
34,2569;130,144;1,1
29,0937;127,72;1,2
25,0613;125,314;1,3
21,8893;122,933;1,4
19,3793;120,582;1,5
17,3849;118,264;1,6
15,7973;115,981;1,7
14,535;113,735;1,8
13,5368;111,526;1,9
12,7567;109,356;2
12,1599;107,225;2,1
11,7207;105,132;2,2
11,4199;103,079;2,3
11,2441;101,065;2,4
11,1842;99,0888;2,5
11,2352;97,1513;2,6
11,3952;95,252;2,7
11,6657;93,3903;2,8
12,0512;91,5661;2,9
12,5594;89,7789;3
13,2013;88,0285;3,1
13,9915;86,3144;3,2
14,9489;84,6364;3,3
16,0972;82,9943;3,4
17,466;81,3878;3,5
19,0914;79,8169;3,6
21,018;78,2815;3,7
23,3004;76,7817;3,8
26,0053;75,3177;3,9
29,2147;73,8897;4
33,0287;72,4982;4,1
37,5705;71,144;4,2
42,9911;69,8281;4,3
49,4768;68,5516;4,4
57,2566;67,3162;4,5
66,6134;66,1241;4,6
77,8964;64,9778;4,7
91,5369;63,8807;4,8
108,068;62,837;4,9
128,149;61,8518;5
152,592;60,9319;5,1
182,4;60,0851;5,2
218,802;59,3218;5,3
263,304;58,6546;5,4
317,736;58,0992;5,5
384,303;57,6757;5,6
465,63;57,4087;5,7
564,789;57,3298;5,8
685,287;57,4784;5,9
830,985;57,9044;6
1005,89;58,671;6,1
1213,75;59,8582;6,2
1457,36;61,5672;6,3
1737,41;63,9249;6,4
2050,8;67,0889;6,5
2388,27;71,2506;6,6
2731,58;76,6322;6,7
3050,73;83,4727;6,8
3302,83;91,9893;6,9
3435,12;102,303;7
3395,58;114,313;7,1
3152,57;127,553;7,2
2718,25;141,087;7,3
2159,82;153,606;7,4
1580,92;163,804;7,5
1076,58;170,887;7,6
695,002;174,828;7,7
434,975;176,191;7,8
269,268;175,733;7,9
167,305;174,111;8
105,309;171,794;8,1
67,5063;169,082;8,2
44,1889;166,157;8,3
29,5719;163,127;8,4
20,2379;160,058;8,5
14,1607;156,986;8,6
10,1259;153,936;8,7
7,39514;150,919;8,8
5,51237;147,945;8,9
4,1909;145,019;9
3,24755;142,143;9,1
2,56324;139,319;9,2
2,05933;136,547;9,3
1,68302;133,827;9,4
1,39836;131,159;9,5
1,1805;128,543;9,6
1,01202;125,979;9,7
0,880569;123,464;9,8
0,77726;120,999;9,9
0,69565;118,583;10
0,631013;116,215;10,1
0,579855;113,893;10,2
0,539574;111,618;10,3
0,50823;109,388;10,4
0,484373;107,203;10,5
0,46693;105,061;10,6
0,455115;102,961;10,7
0,448376;100,904;10,8
0,446349;98,8878;10,9
0,448831;96,9118;11
0,455762;94,9753;11,1
0,467212;93,0775;11,2
0,483384;91,2177;11,3
0,50461;89,3951;11,4
0,531366;87,609;11,5
0,564287;85,8587;11,6
0,604186;84,1435;11,7
0,652087;82,4626;11,8
0,709267;80,8155;11,9
0,777301;79,2015;12
0,858135;77,6199;12,1
0,95416;76,0702;12,2
1,06832;74,5517;12,3
1,20426;73,0639;12,4
1,36645;71,6061;12,5
1,56044;70,1779;12,6
1,79312;68,7787;12,7
2,07304;67,4081;12,8
2,41086;66,0655;12,9
2,81992;64,7506;13
3,31692;63,4629;13,1
3,92288;62,202;13,2
4,66426;60,9677;13,3
5,57455;59,7598;13,4
6,69615;58,5779;13,5
8,083;57,422;13,6
9,80379;56,2921;13,7
11,9463;55,1884;13,8
14,623;54,111;13,9
17,9781;53,0604;14
22,1976;52,0374;14,1
27,5208;51,0428;14,2
34,2575;50,0781;14,3
42,8085;49,1452;14,4
53,6936;48,2465;14,5
67,5878;47,3852;14,6
85,3684;46,5656;14,7
108,177;45,7933;14,8
137,496;45,0755;14,9
175,255;44,4219;15
223,957;43,8449;15,1
286,839;43,3608;15,2
368,071;42,9911;15,3
472,987;42,7642;15,4
608,346;42,718;15,5
782,583;42,9031;15,6
1006;43,3881;15,7
1290,76;44,2662;15,8
1650,45;45,6664;15,9
2098,82;47,7679;16
2646,95;50,8228;16,1
3297,8;55,1873;16,2
4036,72;61,3634;16,3
4816,54;70,0445;16,4
5537,95;82,1384;16,5
6032,54;98,6908;16,6
6072,02;120,531;16,7
5448,69;147,395;16,8
4157,48;176,572;16,9
2565,75;202,404;17
1252,03;219,129;17,1
506,265;225,721;17,2
188,025;225,777;17,3
69,7789;222,96;17,4
26,8789;219,123;17,5
10,8695;214,976;17,6
4,62083;210,77;17,7
2,06159;206,593;17,8
0,962829;202,479;17,9
0,469482;198,437;18
